,AMZN,BA,GOOGL,AAPL,AAL,PTON,PFE,BABA,BILI,GME,CRWD,NIO,NVAX,MRNA,RIOT,MARA,GPRO,ZM,NCLH,LULU,PLTR,SPWR,PINS,FSLR,FSLY,FCEL,FUBO
AMZN,1,0.10987716,0.32984352,0.55707353,0.085765176,-0.34008452,0.039308727,0.44199246,0.24296074,0.09573891,-0.20651348,-0.12820147,-0.0684354,-0.2135387,0.20433041,0.23225136,0.092826456,0.004463636,0.08885835,0.31347218,0.07415598,-0.000834754,0.005786201,0.062976144,-0.01691416,-0.18378855,0.158472
BA,0.10987716,1,0.21435305,0.2263215,0.5425453,-0.059875347,0.272935,0.2809141,0.29920518,0.19424333,0.002237223,0.08036058,0.15343848,-0.023020651,0.021079203,0.15974237,0.2887323,0.087713405,0.26720402,0.24861883,1.0108032,0.2417749,0.19282103,0.24410895,0.28716648,0.17939833,0.2594718
GOOGL,0.32984352,0.21435305,1,0.4732428,0.3451439,-0.36720774,0.21040933,0.22291622,-0.11163318,0.06192819,-0.2937872,-0.32914144,0.037094656,-0.22033003,-0.091516055,0.07536145,0.094128005,-0.4071684,0.41701314,0.027033541,-0.13386962,-0.12839365,-0.11076725,-0.07620644,-0.2865174,-0.13916638,-0.11976863
AAPL,0.55707353,0.2263215,0.4732428,1,0.24348125,0.022801923,-0.069766745,0.18131618,0.10031374,0.28710654,-0.1613986,-0.21193704,-0.13548318,-0.3845958,0.14679089,0.3240663,0.23801734,-0.1783387,0.3297365,0.21350373,0.044837456,0.16279125,0.033425227,0.27820122,0.112657845,-0.07706987,0.11726539
AAL,0.085765176,0.5425453,0.3451439,0.24348125,1,-0.13004139,0.13625045,0.21085125,0.07101188,0.19368492,-0.35443932,-0.057940327,0.07168106,-0.049951326,0.08522637,-0.033552323,0.20323744,-0.30025083,0.6156332,0.07309814,0.1499729,0.056490645,-0.10119214,0.11274786,-0.044680003,0.08606633,-0.046137955
PTON,-0.34008452,-0.059875347,-0.36720774,0.022801923,-0.13004139,1,-0.012537658,0.018640395,0.2889725,0.29807097,0.57241064,0.41510388,0.31115362,0.15252577,0.13283923,0.4058267,-0.009612067,0.52856743,-0.0684379,0.13851234,0.17683828,0.5564396,0.2377919,0.42347634,0.36052182,0.58425653,0.027473297
PFE,0.039308727,0.272935,0.21040933,-0.069766745,0.13625045,-0.012537658,1,0.17724268,-0.0775779,0.07998945,-0.15847836,-0.10744846,0.47165745,0.4539881,-0.2630013,-0.051903285,-0.06605355,-0.14584169,0.026990945,0.34744126,1.0145609,-0.17406377,0.2883626,-0.1972577,-0.010772206,0.036997013,0.07873135
BABA,0.44199246,0.2809141,0.22291622,0.18131618,0.21085125,0.018640395,0.17724268,1,0.4449645,-0.0793984,-0.18644455,0.093330175,0.20226444,0.14265306,0.12494215,0.018541312,-0.08917704,0.15632677,0.24146318,0.30264938,0.250878,-0.12224447,0.011221982,-0.08495231,0.008293495,0.023364803,0.21692227
BILI,0.24296074,0.29920518,-0.11163318,0.10031374,0.07101188,0.2889725,-0.0775779,0.4449645,1,-0.1000166,0.14144135,0.3448775,0.24698117,0.008330593,0.23869254,0.2108957,0.102081805,0.15314454,0.13676909,0.360927,0.8767812,0.2756304,-0.12326559,0.32016173,0.21805795,0.29602295,0.25948897
GME,0.09573891,0.19424333,0.06192819,0.28710654,0.19368492,0.29807097,0.07998945,-0.0793984,-0.1000166,1,0.27404693,-0.18908122,0.08237568,-0.112513445,0.04027922,0.21500106,0.28923142,-0.14990565,0.17163315,0.1842721,0.061283838,0.2512877,0.193186,0.29531056,0.16390474,0.3368579,0.27513784
CRWD,-0.20651348,0.002237223,-0.2937872,-0.1613986,-0.35443932,0.57241064,-0.15847836,-0.18644455,0.14144135,0.27404693,1,0.15388617,-0.21691146,-0.21596268,0.078706145,0.16866498,0.114952445,0.15779601,-0.24497777,0.022795828,0.7755477,0.4226596,0.18785869,0.4690698,0.39876515,0.39465275,0.23939371
NIO,-0.12820147,0.08036058,-0.32914144,-0.21193704,-0.057940327,0.41510388,-0.10744846,0.093330175,0.3448775,-0.18908122,0.15388617,1,-0.013724548,0.06615817,0.021217596,0.016090691,-0.10266666,0.16488901,-0.1751091,0.1669818,0.5301606,0.13453603,-0.05017103,0.13511524,0.114857264,0.15030077,0.07400232
NVAX,-0.0684354,0.15343848,0.037094656,-0.13548318,0.07168106,0.31115362,0.47165745,0.20226444,0.24698117,0.08237568,-0.21691146,-0.013724548,1,0.51959515,-0.1539205,0.018768912,-0.14890562,-0.030445185,0.018843474,0.29626837,0.5997709,-0.09287103,0.0479173,-0.075475164,-0.03853553,0.112356305,0.013048089
MRNA,-0.2135387,-0.023020651,-0.22033003,-0.3845958,-0.049951326,0.15252577,0.4539881,0.14265306,0.008330593,-0.112513445,-0.21596268,0.06615817,0.51959515,1,-0.3697437,-0.25208828,-0.21575706,0.024772247,-0.16956824,0.1812039,0.4022458,-0.35591915,0.07590554,-0.39622304,-0.069182664,-0.057662517,-0.11820875
RIOT,0.20433041,0.021079203,-0.091516055,0.14679089,0.08522637,0.13283923,-0.2630013,0.12494215,0.23869254,0.04027922,0.078706145,0.021217596,-0.1539205,-0.3697437,1,0.28218994,0.16009286,-0.019084448,0.046705704,-0.10688605,-0.19108155,0.23525947,0.05866062,0.25203282,-0.043244325,0.14662409,-0.05895136
MARA,0.23225136,0.15974237,0.07536145,0.3240663,-0.033552323,0.4058267,-0.051903285,0.018541312,0.2108957,0.21500106,0.16866498,0.016090691,0.018768912,-0.25208828,0.28218994,1,0.23660102,0.124132104,-0.07795801,0.30489856,0.4983893,0.2606735,0.16807373,0.32399732,0.20035076,0.112856306,0.3663759
GPRO,0.092826456,0.2887323,0.094128005,0.23801734,0.20323744,-0.009612067,-0.06605355,-0.08917704,0.102081805,0.28923142,0.114952445,-0.10266666,-0.14890562,-0.21575706,0.16009286,0.23660102,1,-0.097774796,0.01918717,0.056276113,0.07740984,0.32858634,0.13059247,0.32406142,0.2075565,0.16773608,0.2854224
ZM,0.004463636,0.087713405,-0.4071684,-0.1783387,-0.30025083,0.52856743,-0.14584169,0.15632677,0.15314454,-0.14990565,0.15779601,0.16488901,-0.030445185,0.024772247,-0.019084448,0.124132104,-0.097774796,1,-0.36791152,0.3133664,0.012655743,0.06675496,0.23238698,-0.018405672,0.078409605,0.041480355,-0.04859155
NCLH,0.08885835,0.26720402,0.41701314,0.3297365,0.6156332,-0.0684379,0.026990945,0.24146318,0.13676909,0.17163315,-0.24497777,-0.1751091,0.018843474,-0.16956824,0.046705704,-0.07795801,0.01918717,-0.36791152,1,0.048581414,-0.056536112,0.04853786,-0.20627399,0.09392895,-0.16176154,0.111475356,-0.06446629
LULU,0.31347218,0.24861883,0.027033541,0.21350373,0.07309814,0.13851234,0.34744126,0.30264938,0.360927,0.1842721,0.022795828,0.1669818,0.29626837,0.1812039,-0.10688605,0.30489856,0.056276113,0.3133664,0.048581414,1,0.24511535,0.045239817,0.18083934,0.07894838,0.29684532,-0.01815308,0.31739587
PLTR,0.07415598,1.0108032,-0.13386962,0.044837456,0.1499729,0.17683828,1.0145609,0.250878,0.8767812,0.061283838,0.7755477,0.5301606,0.5997709,0.4022458,-0.19108155,0.4983893,0.07740984,0.012655743,-0.056536112,0.24511535,1,0.25787917,0.43889797,0.21482228,0.75299644,0.49058294,0.6754939
SPWR,-0.000834754,0.2417749,-0.12839365,0.16279125,0.056490645,0.5564396,-0.17406377,-0.12224447,0.2756304,0.2512877,0.4226596,0.13453603,-0.09287103,-0.35591915,0.23525947,0.2606735,0.32858634,0.06675496,0.04853786,0.045239817,0.25787917,1,0.142645,0.80871505,0.114654325,0.42148635,0.282633
PINS,0.005786201,0.19282103,-0.11076725,0.033425227,-0.10119214,0.2377919,0.2883626,0.011221982,-0.12326559,0.193186,0.18785869,-0.05017103,0.0479173,0.07590554,0.05866062,0.16807373,0.13059247,0.23238698,-0.20627399,0.18083934,0.43889797,0.142645,1,0.11062791,0.36521164,0.11056294,0.1321116
FSLR,0.062976144,0.24410895,-0.07620644,0.27820122,0.11274786,0.42347634,-0.1972577,-0.08495231,0.32016173,0.29531056,0.4690698,0.13511524,-0.075475164,-0.39622304,0.25203282,0.32399732,0.32406142,-0.018405672,0.09392895,0.07894838,0.21482228,0.80871505,0.11062791,1,0.2341638,0.43822697,0.23503174
FSLY,-0.01691416,0.28716648,-0.2865174,0.112657845,-0.044680003,0.36052182,-0.010772206,0.008293495,0.21805795,0.16390474,0.39876515,0.114857264,-0.03853553,-0.069182664,-0.043244325,0.20035076,0.2075565,0.078409605,-0.16176154,0.29684532,0.75299644,0.114654325,0.36521164,0.2341638,1,0.15752539,0.17920262
