,Original Price,Predicted Price,Predicted Returns
AMZN,3256.93,3339.087866,0.025225555
BA,214.06,220.4016687,0.02962566
GOOGL,1752.64,1764.694801,0.006878082
TSLA,705.67,680.5043021,-0.035662134
ALB,147.52,146.0896406,-0.009696037
HSY,152.33,149.7741663,-0.016778269
AAPL,132.69,136.5794348,0.029312192
AAL,15.77,16.2704293,0.031732993
PTON,151.72,159.5287602,0.051468232
GS,263.71,256.3056341,-0.028077683
PFE,36.81,36.89022841,0.002179528
BABA,232.73,240.5977046,0.033806147
BILI,85.72,87.25834944,0.017946214
PDD,177.67,154.3807462,-0.131081521
GME,18.84,20.45343732,0.085638924
CRWD,211.82,218.4764087,0.031424836
NIO,48.74,50.65778519,0.039347255
NVAX,111.51,121.7997714,0.092276669
MRNA,104.47,116.8146009,0.118164075
RIOT,16.99,17.13257957,0.00839197
MARA,10.44,11.893067,0.139182663
GPRO,8.28,8.49123953,0.02551202
ZM,337.32,375.7675387,0.113979422
NFLX,540.73,533.0092563,-0.014278371
AMD,91.71,91.53953699,-0.001858718
NCLH,25.43,25.71956658,0.01138681
LULU,348.03,352.055856,0.011567555
ROKU,332.02,327.0451186,-0.01498368
FB,273.16,270.9626493,-0.008044189
PLTR,23.55,28.41581799,0.206616475
TGT,176.53,173.1225533,-0.019302366
WMT,144.15,143.6615931,-0.003388185
SPWR,25.64,25.79706579,0.006125811
APPN,162.09,158.2509475,-0.023684696
PINS,65.9,78.91454847,0.197489355
FSLR,98.92,99.10851441,0.001905726
FSLY,87.37,95.5518423,0.0936459
INO,8.85,8.787814912,-0.007026564
FCEL,11.17,11.20682694,0.003296951
FUBO,28,39.99297845,0.428320659
